paper,model,goal,findings
On the Blind Spots of Model-Based Evaluation Metrics for Text Generation,gpt-oss-120b,"To introduce a systematic suite of synthetic stress tests for evaluating the robustness of pretrained‑language‑model‑based metrics in natural‑language generation, uncover their blind spots, and propose practical mitigations.","The stress tests reveal widespread insensitivities and biases in current PLM‑based metrics. BERTScore drops sharply with truncation errors in summarization, while MAUVE using GPT‑2 features is blind to errors at the start or middle of texts; switching to MLM‑based features (RoBERTa, ELECTRA) improves sensitivity. Several metrics (e.g., MAUVE‑GPT2, BERTScore, ROUGE, COMET, PRISM, UniEval, BARTScore) fail truncation tests, and BARTScore‑para‑recall and MAUVE‑RoBERTa fail sentence‑switching tests. Injection of valueless instruction text can mislead UniEval. GPT‑PPL and MLM‑PPL erroneously reward synthetic sequences composed of frequent n‑grams, showing a frequency bias. Log‑probability metrics exhibit self‑evaluation bias, favoring generations from the same underlying PLM used for evaluation (GPT‑2, BART, T5). Overall, the analyses demonstrate that PLM‑based metrics are brittle in many realistic error scenarios, and suggest using alternative feature encoders, calibrating precision/recall balances, avoiding metric‑generator PLM overlap, and combining complementary metrics to mitigate blind spots."
On the Blind Spots of Model-Based Evaluation Metrics for Text Generation,mistral-large-3-675b-instruct-2512,"To systematically analyze the robustness of model-based evaluation metrics for text generation by designing and applying stress tests with synthetic data, uncovering blind spots, biases, and insensitivities in existing metrics, and providing practical workarounds for more reliable evaluation.","The paper reveals several blind spots in popular text generation evaluation metrics: (1) BERTScore is insensitive to truncation errors in summarization, often failing to penalize lost information; (2) MAUVE, particularly when using GPT-2 features, ignores errors at the beginning or middle of generated text due to its reliance on local context; (3) UniEval can be misled by valueless but contextually manipulative text (e.g., injection attacks); (4) Log-likelihood-based metrics like GPT-PPL and MLM-PPL favor frequent n-grams over coherent text, exposing biases in their scoring; (5) Metrics exhibit self-evaluation bias, unfairly favoring outputs from models matching their underlying architecture (e.g., GPT-PPL scores its own generations higher); (6) Metrics like BARTScore, BERTScore, and MAUVE fail to penalize sentence-switching errors, indicating insensitivity to temporal or logical disorder. The study also recommends practical fixes, such as using ELECTRA or RoBERTa features for MAUVE, reporting precision/recall separately for BERTScore, and combining metrics to mitigate individual blind spots."
On the Blind Spots of Model-Based Evaluation Metrics for Text Generation,qwen3.5-397b-a17b,"To develop a suite of stress tests with synthetic data for the robustness analysis of NLG metrics based on pretrained language models, aiming to reveal insensitivities, biases, and loopholes while suggesting practical workarounds for more reliable evaluation.","The study reveals specific blind spots such as BERTScore confusion with truncation errors, MAUVE insensitivity to errors at the start or middle of generations when using GPT-2 features, UniEval vulnerability to misleading injections, and self-evaluation bias where metrics favor generators using the same underlying PLM. Furthermore, log-probability metrics bias towards frequent n-grams, and various metrics fail to penalize sentence switching or truncation, indicating the necessity of using metric combinations and alternative PLM features like ELECTRA for better robustness."
Finding Blind Spots in Evaluator LLMs with Interpretable Checklists,gpt-oss-120b,"To introduce FBI, a meta-evaluation framework that uses interpretable checklists and targeted perturbations to systematically assess how well evaluator LLMs can detect quality degradations in other LLMs across four core abilities—factual accuracy, instruction following, long‑form coherence, and reasoning—and to benchmark various evaluator models under single‑answer, pairwise, and reference‑guided evaluation paradigms.","Current evaluator LLMs are unreliable: across 2400 perturbed answers in 22 categories, they missed quality drops in over 50% of cases on average. Single‑answer and pairwise evaluations performed especially poorly, while reference‑based scoring was relatively better but still error‑prone. GPT‑4‑Turbo, though the strongest, failed to consistently penalize perturbed answers except on reasoning tasks, and advanced prompting strategies did not consistently improve performance. Other popular evaluators (Gemini‑1.5‑PRO, Claude‑3‑OPUS, LLAMA‑3‑70B‑INSTRUCT, PROMETHEUS) showed similar or limited gains, with LLAMA‑3 being overly strict in reference settings. Explanations offered only marginal benefit, and expanding the scoring range to 1‑5 yielded modest improvements."
Finding Blind Spots in Evaluator LLMs with Interpretable Checklists,mistral-large-3-675b-instruct-2512,"To investigate the effectiveness of Large Language Models (LLMs) as evaluators for text generation tasks by introducing the FBI framework, which assesses their proficiency in detecting quality drops across four critical abilities: factual accuracy, instruction following, coherence in long-form writing, and reasoning proficiency. The study systematically tests whether Evaluator LLMs can identify targeted perturbations in LLM-generated answers that degrade these abilities.","The study reveals significant shortcomings in current Evaluator LLMs, which failed to detect quality drops in over 50% of cases on average. Single-answer and pairwise evaluations demonstrated notable limitations, whereas reference-based evaluations showed comparatively better performance but still had notable failures. The findings highlight that Evaluator LLMs are unreliable for practical applications, as they struggled with basic perturbations (e.g., fluency errors) and even correctly identified issues in explanations without adjusting scores. Reference-less evaluation paradigms (single-answer and pairwise) were particularly unreliable, while reference-guided evaluations performed relatively better."
Finding Blind Spots in Evaluator LLMs with Interpretable Checklists,qwen3.5-397b-a17b,"To investigate the effectiveness of Large Language Models (LLMs) as evaluators for text generation tasks by proposing FBI, a framework designed to examine Evaluator LLMs' proficiency in assessing factual accuracy, instruction following, coherence, and reasoning through targeted perturbations.","Current Evaluator LLMs exhibit significant shortcomings, failing to identify quality drops in over 50% of cases on average. Single-answer and pairwise evaluations showed notable limitations, while reference-based evaluations performed comparatively better. Even advanced models struggled to detect errors, and evaluator explanations were only marginally helpful, highlighting the unreliable nature of current Evaluator LLMs."
Order in the Evaluation Court: A Critical Analysis of NLG Evaluation Trends,gpt-oss-120b,"To systematically analyze how evaluation practices in Natural Language Generation have evolved over the past six years by automatically extracting metadata from 14,171 conference papers, focusing on the use of automatic metrics, LLM-as-a-judge (LaaJ) methods, and human evaluation, and to derive actionable recommendations for improving NLG evaluation rigor.","The study uncovers three major trends: (1) Task divergence – Dialogue Generation has rapidly shifted toward LaaJ (>40% of papers by 2025) while Machine Translation remains dominated by n‑gram metrics and Question Answering shows a steep decline in human evaluation; (2) Metric inertia – generic metrics such as BLEU and ROUGE continue to be widely used across tasks despite the availability of more semantically informed metrics, often without empirical justification; (3) Human‑LaaJ divergence – LaaJ and human evaluations prioritize different quality signals, show near‑zero correlation (Spearman ρ≈0.007), and explicit validation is rare (fewer than 8% of papers compare them, with only moderate to low correlation scores). These observations highlight a validation gap and motivate recommendations to modernize metric use, formalize metric‑criterion mappings, and adopt a stratified evaluation protocol that leverages LaaJ for technical checks and human judgment for high‑level dimensions."
Order in the Evaluation Court: A Critical Analysis of NLG Evaluation Trends,mistral-large-3-675b-instruct-2512,"To systematically review and quantitatively analyze the evolution of Natural Language Generation (NLG) evaluation practices over the past six years by extracting key information from 14,171 papers across major NLP conferences, focusing on automatic metrics, LLM-as-a-judge (LaaJ) methods, and human evaluation, and to identify critical failures and misalignments in current evaluation trends.","(1) Task Divergence: NLG evaluation practices vary significantly across tasks; Dialogue Generation has rapidly adopted LaaJ methods (over 40% in 2025), while Machine Translation remains reliant on n-gram metrics like BLEU, and Question Answering shows a substantial decline in human evaluation. (2) Metric Inertia: General-purpose metrics (e.g., BLEU, ROUGE) continue to be widely used without empirical justification, often lacking the discriminative power to measure specific quality criteria in emerging tasks. (3) Human-LaaJ Divergence: LaaJ and human evaluations prioritize different quality signals, with only a weak to moderate correlation between them. Explicit comparisons between LaaJ and human evaluations are rare (less than 8% of papers), and LLMs are not reliable proxies for human judgment."
Order in the Evaluation Court: A Critical Analysis of NLG Evaluation Trends,qwen3.5-397b-a17b,"To systematically review and quantify the evolution of Natural Language Generation (NLG) evaluation practices by employing automatic information extraction on 14,171 papers from major conferences between 2020 and 2025, focusing on metrics, LLM-as-a-Judge (LaaJ), and human evaluation methods to identify trends, gaps, and misalignments in current research.","The study reveals three critical issues: (1) Task Divergence, where evaluation methods vary significantly by task such as Machine Translation remaining locked into n-gram metrics while Dialogue Generation shifts rapidly to LaaJ; (2) Metric Inertia, where general-purpose metrics like BLEU and ROUGE continue to be widely used without empirical justification despite the availability of semantic metrics; and (3) Human-LaaJ Divergence, showing that LaaJ and human evaluations prioritize different signals with low correlation, yet explicit validation between the two is scarce with less than 8% of papers comparing them."
Unveiling the Achilles' Heel of NLG Evaluators: A Unified Adversarial Framework Driven by Large Language Models,gpt-oss-120b,"To introduce AdvEval, a unified black‑box adversarial framework that automatically generates high‑quality NLG outputs causing strong disagreement between human (proxy) judgments and existing automatic evaluators, thereby assessing and exposing the robustness weaknesses of a wide range of NLG evaluation metrics across dialogue, summarization, and question‑generation tasks.","Extensive experiments on 12 victim evaluators and 11 datasets show that most current NLG metrics are vulnerable to adversarial perturbations; AdvEval achieves markedly higher attack success rates than rule‑based and optimization‑based baselines (e.g., up to 84.8% R⁺ and 92.5% R⁻ in dialogue), can generate diverse, label‑preserving adversarial samples, and the LLM‑based gold evaluator serves as a reliable human proxy (≈80% agreement). Ablation studies confirm the critical role of the gold evaluator and evaluation criteria in guiding effective attacks."
Unveiling the Achilles' Heel of NLG Evaluators: A Unified Adversarial Framework Driven by Large Language Models,mistral-large-3-675b-instruct-2512,"To introduce AdvEval, a novel black-box adversarial framework designed to automatically identify and exploit critical weaknesses in well-established natural language generation (NLG) evaluators by generating high-quality adversarial data that lead to significant disagreements between human judgment and victim evaluators, thereby assessing and highlighting the robustness vulnerabilities of various NLG evaluation metrics across multiple tasks including dialogue, summarization, and question evaluation.","The paper finds that existing NLG evaluators, regardless of their type (reference-based, reference-free, or LLM-based), are highly vulnerable to adversarial perturbations. Specifically: (1) Traditional rule-based adversarial methods struggle to generate high-quality positive responses (R+) but are somewhat effective in creating negative responses (R-); (2) Optimization-based baseline methods (e.g., TextFooler, BERT-Attack) often fail to preserve the intended quality label, especially for R+, due to limited search space and inadequate quality constraints; (3) AdvEval significantly outperforms all baseline methods, achieving high attack success rates (ASR) across all tasks—84.8% for R+ and 92.5% for R- in dialogue evaluation, 60.6% for R+ and 92.7% for R- in question evaluation, and 85% for R+ and 58.8% for R- in summarization evaluation—demonstrating its ability to generate diverse, high-quality adversarial samples; (4) Manual inspection confirms that AdvEval maintains label validity in over 80% of cases, validating its use of LLMs as reliable proxies for human judgment; (5) Adversarial learning and ablation studies further underscore the effectiveness of AdvEval’s iterative optimization and dual-evaluator feedback mechanism."
Unveiling the Achilles' Heel of NLG Evaluators: A Unified Adversarial Framework Driven by Large Language Models,qwen3.5-397b-a17b,"To automatically identify critical weaknesses in automatic NLG evaluation metrics by proposing AdvEval, a black-box adversarial framework using LLMs to generate high-quality adversarial data that causes disagreement between human judgment and victim evaluators.","All evaluated NLG metrics are vulnerable to adversarial perturbations. AdvEval significantly outperforms baseline methods across dialogue, summarization, and question generation tasks, achieving high attack success rates. The LLM-based gold evaluator reliably proxies human judgment with over 80% accuracy, ensuring the label validity of generated adversarial data."
