paper,model,goal,findings
On the Blind Spots of Model-Based Evaluation Metrics for Text Generation,gpt-oss-120b,"To investigate the robustness of recent pretrained‑language‑model‑based text‑generation evaluation metrics by designing synthetic stress‑test datasets that introduce controlled errors, and to expose and analyze the blind spots, biases, and failure modes of these metrics across open‑ended generation, translation, and summarization tasks.","The study reveals multiple systematic weaknesses in PLM‑based metrics: BERTScore is misled by truncation errors in summarization; MAUVE (especially with GPT‑2 features) is insensitive to errors at the start or middle of generations and to sentence‑ordering disruptions, while MAUVE‑ELECTRA is more robust; GPT‑PPL and MLM‑PPL overly reward sequences composed of frequent n‑grams, showing a bias toward high‑frequency local patterns; self‑evaluation bias causes log‑probability metrics (GPT‑PPL, BARTScore) to favor outputs from the same underlying PLM used for evaluation; many metrics (various BERTScore, BARTScore, ROUGE, COMET, PRISM, UniEval) fail truncation tests, and some (BARTScore‑para‑recall, MAUVE‑RoBERTa) fail sentence‑switching tests; overall, PLM‑based metrics can be brittle, manipulable, and exhibit insensitivities that can be mitigated with alternative PLM features, metric combinations, and calibrated scoring."
On the Blind Spots of Model-Based Evaluation Metrics for Text Generation,deepseek-r1-distill-llama-70b,"The goal of this paper is to analyze the robustness of model-based evaluation metrics for text generation through stress tests using synthetic data, identifying their blind spots and vulnerabilities.","The findings reveal that various metrics such as BERTScore, MAUVE, and others exhibit insensitivities, biases, or loopholes when exposed to synthetic errors. For instance, BERTScore is confused by truncation errors, MAUVE is insensitive to mid-generation errors, and log-probability-based metrics show self-evaluation bias favoring their underlying PLMs. These results highlight the need for caution and complementary metrics to address these blind spots."
On the Blind Spots of Model-Based Evaluation Metrics for Text Generation,qwen3-30b-a3b-instruct-2507,"The goal of this paper is to develop and apply a suite of stress tests using synthetic data to conduct robustness analysis of model-based evaluation metrics for text generation, revealing blind spots, biases, and loopholes in existing metrics, and providing practical suggestions for more reliable evaluation.","The paper finds that several widely used PLM-based metrics exhibit significant blind spots: BERTScore is insensitive to truncation errors in summarization, MAUVE (especially with GPT-2 features) is insensitive to errors at the beginning or middle of generations, and MAUVE with GPT-2 features is also insensitive to sentence switching. Additionally, metrics like GPT-PPL and MLM-PPL show bias toward frequent n-grams rather than global coherence, and log-probability-based metrics suffer from self-evaluation bias when the evaluator and generator are based on the same PLM. The study also reveals that UniEval can be tricked by valueless injection text, and some metrics fail to penalize information loss from truncation or logical disorder from sentence switching. The findings suggest that practitioners should use metric combinations to cover blind spots and consider alternative features (e.g., ELECTRA for MAUVE) for improved robustness."
Finding Blind Spots in Evaluator LLMs with Interpretable Checklists,gpt-oss-120b,"To introduce FBI, a meta-evaluation framework that uses interpretable checklists and targeted perturbations to assess how well evaluator LLMs can detect drops in factual accuracy, instruction following, long-form coherence, and reasoning ability of other LLMs.","Current evaluator LLMs are unreliable: across 2400 perturbed answers in 22 categories, they miss quality degradations in over 50% of cases on average. Single‑answer and pairwise evaluations perform particularly poorly, while reference‑based evaluation is slightly better but still error‑prone. Even the strongest models (e.g., GPT‑4‑Turbo) fail to consistently penalize perturbed answers, explanations add only marginal benefit, and expanding the scoring range yields only modest gains. Overall, evaluator LLMs exhibit significant blind spots and should be used cautiously."
Finding Blind Spots in Evaluator LLMs with Interpretable Checklists,deepseek-r1-distill-llama-70b,"The goal of this paper is to evaluate the effectiveness of Large Language Models (LLMs) as evaluators for text generation tasks by identifying their blind spots through targeted perturbations across four critical abilities: factual accuracy, instruction following, coherence in long-form writing, and reasoning proficiency.","The findings reveal significant shortcomings in current Evaluator LLMs, which failed to identify quality drops in over 50% of cases on average. Single-answer and pairwise evaluations demonstrated notable limitations, whereas reference-based evaluations showed comparatively better performance."
Finding Blind Spots in Evaluator LLMs with Interpretable Checklists,qwen3-30b-a3b-instruct-2507,"The goal of this paper is to investigate the effectiveness of Large Language Models (LLMs) as evaluators for text generation tasks by proposing FBI, a novel meta-evaluation framework that uses interpretable checklists to identify blind spots in Evaluator LLMs across four critical abilities: factual accuracy, instruction following, coherence in long-form writing, and reasoning proficiency.","The findings reveal significant shortcomings in current Evaluator LLMs, which failed to identify quality drops in over 50% of cases on average across different evaluation strategies. Single-answer and pairwise evaluations demonstrated notable limitations, while reference-based evaluations showed comparatively better performance. Even advanced models like GPT-4-TURBO and others consistently performed poorly, and explanations generated by evaluators were only marginally helpful in detecting perturbations. The study underscores the unreliable nature of current Evaluator LLMs and calls for caution in their practical application."
Order in the Evaluation Court: A Critical Analysis of NLG Evaluation Trends,gpt-oss-120b,"To systematically analyze the evolution of NLG evaluation practices over the past six years by automatically extracting metadata from 14,171 papers across major conferences, focusing on the use of automatic metrics, LLM-as-a-judge (LaaJ) methods, and human evaluation, and to derive actionable recommendations for improving evaluation rigor.","1) Task divergence: Dialogue Generation has rapidly shifted toward LaaJ (>40% of papers by 2025), while Machine Translation remains dominated by n‑gram metrics and Question Answering shows a marked decline in human evaluation. 2) Metric inertia: Traditional generic metrics such as BLEU and ROUGE continue to be widely used across tasks despite the availability of more semantically informed metrics, and they often lack discriminative power for specific quality criteria. 3) Human‑LaaJ divergence: LaaJ and human evaluations prioritize different quality signals; explicit validation of LaaJ against humans is scarce (less than 8% of papers compare them) and reported correlations are only moderate to low, indicating that LaaJ is not a direct proxy for human judgment. 4) Validation gap: The exponential rise of LaaJ since 2023 is not matched by corresponding human validation, leading to a fragmented evaluation landscape."
Order in the Evaluation Court: A Critical Analysis of NLG Evaluation Trends,deepseek-r1-distill-llama-70b,"To systematically analyze and understand the evolution of evaluation methods in Natural Language Generation (NLG) research, focusing on trends in metrics, LLM-based evaluation (LaaJ), and human evaluation across 14,171 papers from major conferences.","1. Task Divergence: Different NLG tasks adopt evaluation methods differently, e.g., Dialogue Generation shifts toward LaaJ, while Machine Translation remains reliant on n-gram metrics. 2. Metric Inertia: Traditional metrics like BLEU and ROUGE are widely used despite the development of more advanced semantic metrics. 3. Human-LaaJ Divergence: LaaJ and human evaluations prioritize different quality signals, with low correlation and limited validation between the two methods."
Order in the Evaluation Court: A Critical Analysis of NLG Evaluation Trends,qwen3-30b-a3b-instruct-2507,"To systematically analyze the evolution of Natural Language Generation (NLG) evaluation practices over the past six years by leveraging a large-scale, multi-LLM information extraction pipeline on 14,171 papers from four major conferences, with the aim of identifying critical flaws in current evaluation trends and providing actionable recommendations to improve evaluation rigor.","The study reveals three major findings: (1) Task Divergence—Dialogue Generation rapidly adopts LLM-as-a-judge (LaaJ) methods (>40% in 2025), Machine Translation remains entrenched in n-gram metrics, and Question Answering shows a sharp decline in human evaluation; (2) Metric Inertia—general-purpose metrics like BLEU and ROUGE are widely used across tasks without empirical justification, despite their limited discriminative power for specific quality criteria; (3) Human-LaaJ Divergence—LaaJ and human evaluations prioritize different signals, with only moderate to low correlation and less than 8% of papers empirically validating the alignment between them, challenging the assumption that LLMs are reliable proxies for human judgment."
Unveiling the Achilles' Heel of NLG Evaluators: A Unified Adversarial Framework Driven by Large Language Models,gpt-oss-120b,"To introduce AdvEval, a novel black‑box adversarial framework that uses large language models as both data generators and gold evaluators to automatically create adversarial NLG samples that cause strong disagreement between human (proxy) judgments and existing automatic evaluation metrics, thereby assessing and exposing the robustness weaknesses of NLG evaluators.","AdvEval markedly outperforms rule‑based and optimization‑based baselines, achieving high attack success rates (e.g., up to 84.8% for positive‑label attacks and 92.5% for negative‑label attacks in dialogue evaluation) across 12 victim metrics and 11 datasets covering dialogue, summarization, and question generation. All tested metrics are vulnerable, with R‑ attacks generally easier than R+. The LLM gold evaluator serves as a reliable human proxy (≈80% accuracy vs. human labels). Ablation studies confirm that removing the gold evaluator sharply reduces performance, and the framework generates high‑quality, diverse adversarial texts while preserving label validity."
Unveiling the Achilles' Heel of NLG Evaluators: A Unified Adversarial Framework Driven by Large Language Models,deepseek-r1-distill-llama-70b,"The goal of this paper is to systematically evaluate the robustness of natural language generation (NLG) evaluators and propose a novel black-box adversarial framework called AdvEval. This framework is designed to generate high-quality, diverse adversarial samples that can degrade the performance of various NLG evaluators by causing disagreements between human judgments and evaluator scores.","The findings demonstrate that AdvEval is highly effective across multiple NLG tasks, including dialogue, summarization, and question evaluation. It successfully generates adversarial samples that lead to significant performance degradation in various evaluation metrics. The results show that both reference-based and reference-free evaluators are vulnerable to adversarial attacks. Additionally, AdvEval outperforms existing methods, particularly in creating high-quality adversarial data, and manual validation confirms the label validity and quality of the generated samples."
Unveiling the Achilles' Heel of NLG Evaluators: A Unified Adversarial Framework Driven by Large Language Models,qwen3-30b-a3b-instruct-2507,"The goal of this paper is to systematically evaluate the robustness of automatic natural language generation (NLG) evaluators against adversarial perturbations and to propose AdvEval, a novel black-box adversarial framework that generates high-quality, diverse adversarial data to expose critical weaknesses in these evaluators, particularly by creating strong disagreements between human judgments and victim evaluator scores.","The findings show that AdvEval effectively generates adversarial samples that significantly degrade the performance of 12 victim NLG evaluators across 11 datasets spanning dialogue, summarization, and question evaluation tasks. AdvEval outperforms both rule-based and optimization-based baselines in attack success rate (ASR), achieving up to 92.5% ASR for R- and 84.8% for R+ cases. The gold evaluator (LLM-based) serves as a reliable proxy for human judgment, with over 80% accuracy in label validity. The framework demonstrates superior search space exploration and constraint enforcement, enabling the creation of high-quality, diverse adversarial data that traditional methods fail to produce, thus revealing the Achilles' heel of current NLG evaluators."
LLM Comparative Assessment: Zero-shot NLG Evaluation through Pairwise Comparisons using Large Language Models,gpt-oss-120b,"To investigate the use of large language models (LLMs) for zero‑shot natural language generation (NLG) evaluation via pairwise comparative assessment, assess its effectiveness relative to absolute prompt‑scoring, study positional biases in pairwise judgments, and explore efficient ranking strategies and debiasing techniques.","Comparative assessment dramatically outperforms absolute prompt‑scoring for moderate‑sized open‑source LLMs (FlanT5, Llama2‑chat), achieving Spearman correlations comparable to or exceeding state‑of‑the‑art zero‑shot and supervised baselines across summarization, podcast, dialogue, and data‑to‑text tasks. The method works well even with models under 1B parameters and scales modestly with size. LLMs exhibit strong positional bias in pairwise decisions, especially larger models; a simple re‑weighting debiasing method reduces this bias and yields further performance gains, notably for biased systems. Subset selection strategies (random, no‑repeat, symmetric) can reduce the O(N²) comparison cost with minimal loss in correlation, and debiasing is especially beneficial when few comparisons are used. Overall, pairwise comparative assessment is a simple, general, zero‑shot approach that provides robust and near‑state‑of‑the‑art NLG evaluation."
LLM Comparative Assessment: Zero-shot NLG Evaluation through Pairwise Comparisons using Large Language Models,deepseek-r1-distill-llama-70b,"The goal of this paper is to investigate the use of large language models (LLMs) for zero-shot natural language generation (NLG) evaluation through pairwise comparative assessment, exploring its effectiveness, positional biases, and debiasing methods.","The findings demonstrate that comparative assessment using moderately-sized LLMs outperforms absolute scoring methods, achieving near state-of-the-art performance across various NLG tasks. LLMs exhibit positional biases in pairwise comparisons, but a simple debiasing approach can improve evaluation performance, particularly for biased systems. The method is general, simple, and effective for diverse NLG evaluation tasks."
LLM Comparative Assessment: Zero-shot NLG Evaluation through Pairwise Comparisons using Large Language Models,qwen3-30b-a3b-instruct-2507,"The goal of this paper is to investigate and demonstrate the effectiveness of LLM comparative assessment for zero-shot natural language generation (NLG) evaluation, focusing on its performance compared to absolute scoring, the impact of positional biases in pairwise comparisons, and the efficiency of ranking with a reduced number of comparisons.","LLM comparative assessment outperforms prompt-scoring for moderately-sized open-source models like FlanT5 and Llama2, achieving competitive or state-of-the-art performance across multiple NLG tasks and attributes. The approach is general, simple, and effective without extensive prompt engineering. However, LLMs exhibit strong positional biases in pairwise comparisons, which can degrade performance; a debiasing method is proposed and shown to improve results, especially with limited comparisons. Additionally, comparative assessment enables efficient ranking with a subset of comparisons, maintaining high consistency and performance."
